"raw_col_1","raw_col_2","raw_col_3","raw_col_4","raw_col_5","raw_col_6","raw_col_7","source_row_id","ingest_row_id"
"[SKU1181] [Manuka Ridge]Manuka Honey UMF 15+ (250g)","1","3","304.51","1","3","304.51",269,269
"[SKU1300] [Kiwiana Co]Wool Throw Blanket","1","4","97.44","1","4","97.44",270,270
"[SKU1004] [Solwave]Liver Support Complex 90s","1","6","254.88","1","6","254.88",271,271
"[SKU1243] [Silverfern]Facial Cleanser (100ml)","2","9","281.36","2","9","281.36",272,272
"[SKU1313] [Harbour Wool]Wool Cushion Cover (45cm)","1","10","384.08","1","10","384.08",273,273
"[SKU1019] [Solwave]Lecithin 1500mg","1","5","245.63","1","5","245.63",274,274
"[SKU1174] [Westbrook]Whole Milk Powder (1000g){Express Freight}","1","1","36.39","1","1","36.39",275,275
"[SKU1039] [Northlight]Joint Care Glucosamine 180s","2","8","289.34","2","8","289.34",276,276
"[SKU1117] [Halcyon]Omega 3 Fish Oil 500mg","1","4","81.20999999999999","1","4","81.20999999999999",277,277
"[SKU1196] [Golden Vale]Clover Honey (500g)","1","5","125.07","1","5","125.07",278,278
"[SKU1041] [Vireo Labs]Omega 3 Fish Oil 500mg","1","11","561.42","1","11","561.42",279,279
"[SKU1332] [Cocoa Bay]Dark Chocolate Block 85% (250g)","1","4","43.21","1","4","43.21",280,280
"[SKU1051] [Vireo Labs]Magnesium Complex 60s","2","15","519.03","2","15","519.03",281,281
"[SKU1161] [Fernvale]Skim Milk Powder (800g){Express Freight}","1","4","170.24","1","4","170.24",282,282
"[SKU1129] [Clearfield]Goat Milk Powder (450g)","2","1","58.05","2","1","58.05",283,283
"[SKU1078] [Puriri Health]Eye Health Lutein 60s","2","2","75.34","2","2","75.34",284,284
"[IFFSHIP02] [Freight]Extra Charge $1","2","6","28.74","2","6","28.74",285,285
"[SKU1086] [Tasman Vitality]Probiotic Daily 30s","1","1","26.06","1","1","26.06",286,286
"[SKU1105] [Kowhai Care]Liver Support Complex 30s","1","4","175.23","1","4","175.23",287,287
"[SKU1101] [Aroha Nutrition]Eye Health Lutein 30s","1","5","135.81","1","5","135.81",288,288
"[SKU1217] [Lanolux]Lanolin Moisturising Cream (150ml)","1","11","176.95","1","11","176.95",289,289
"[SKU1320] [Harbour Wool]Plush Kiwi Toy (15cm)","2","5","191.03","2","5","191.03",290,290
"[SKU1063] [Baycrest]Lecithin 1200mg","2","6","288.04","2","6","288.04",291,291
"[SKU1178] [Westbrook]Infant Formula Stage 1 (900g)","1","8","336.47","1","8","336.47",292,292
"[SKU1109] [Kowhai Care]Lecithin 1500mg","2","5","234","2","5","234",293,293
"[SKU1269] [Southern Craft]Sheepskin Slippers","1","5","161.92","1","5","161.92",294,294
"[SKU1242] [Silverfern]Night Repair Serum (50ml)","2","6","159.32","2","6","159.32",295,295
"[SKU1017] [Solwave]Joint Care Glucosamine 90s","1","8","252.84","1","8","252.84",296,296
"[SKU1307] [Harbour Wool]Wool Cushion Cover (40cm)","1","9","385.91","1","9","385.91",297,297
"[SKU1023] [Northlight]Omega 3 Fish Oil 500mg","2","4","113.81","2","4","113.81",298,298
"[SKU1118] [Halcyon]CoQ10 100mg","2","INVALID_VALUE","45.01","2","2","45.01",299,299
"[SKU1003] [Solwave]Calcium + Vitamin D 120s","1","14","560.4","1","14","560.4",300,300
"[SKU1040] [Northlight]Multivitamin Adult 60s","1","4","119.91","1","4","119.91",301,301
"[SKU1020] [Solwave]Eye Health Lutein 60s","2","4","196.2","2","4","196.2",302,302
"[SKU1151] [Two Rivers]Whole Milk Powder (800g)","2","16","562.76","2","16","562.76",303,303
"[SKU1246] [Silverfern]Sheep Placenta Cream (100ml)","2","3","26.1","2","3","26.1",304,304
"[SKU1277] [Southern Craft]Wool Cushion Cover (40cm)",,"9","390.66","2","9","390.66",305,305
"[SKU1267] [Southern Craft]Souvenir Keyring","1","11","217.53","1","11","217.53",306,306
"[SKU1319] [Harbour Wool]Wool Cushion Cover (45cm)","2","4","132.29","2","4","132.29",307,307
"[SKU1263] [Tui Botanicals]Sheep Placenta Cream (100ml)","2","3","88.31999999999999","2","3","88.31999999999999",308,308
"[SKU1251] [Cove & Clay]Night Repair Serum (30ml)","2","6","79.14","2","6","79.14",309,309
"[SKU1315] [Harbour Wool]Souvenir Keyring","1","1","35.09","1","1","35.09",310,310
"[SKU1167] [Fernvale]Whole Milk Powder (1000g)","1","8","318.25","1","8","318.25",311,311
"[SKU1070] [Puriri Health]Omega 3 Fish Oil 1500mg","1","2","45.69","1","2","45.69",312,312
"[SKU1057] [Baycrest]CoQ10 200mg","1","2","32.85","1","2","32.85",313,313
"[SKU1327] [Piko Gifts]Wool Cushion Cover (45cm)","1","4","161.9","1","4","161.9",314,314
"[SKU1154] [Two Rivers]Digestion Support Milk Powder (800g)","2","5","471.74","2","5","471.74",315,315
"[SKU1177] [Westbrook]Digestion Support Milk Powder (800g){15-Day Express}","1","1","102.04","1","1","102.04",316,316
"[SKU1156] [Two Rivers]Infant Formula Stage 2 (900g)","1","5","265.83","1","5","265.83",317,317
"[SKU1131] [Clearfield]Skim Milk Powder (1000g)","2","7","525.09","2","7","525.09",318,318
"[SKU1055] [Vireo Labs]Liver Support Complex 60s","2","12","421.04","2","12","421.04",319,319
"[SKU1257] [Cove & Clay]Night Repair Serum (50ml)","1","2","16.08","1","2","16.08",320,320
"[SKU1326] [Piko Gifts]Wool Throw Blanket","2","3","94.43000000000001","2","3","94.43000000000001",321,321
"[SKU1214] [Beechline]Manuka Honey UMF 15+ (250g)","2","16","679.59","2","16","679.59",322,322
"[SKU1207] [Hivewood]Clover Honey (1000g)",,"4","313.63","2","4","313.63",323,323
"[SKU1268] [Southern Craft]Fridge Magnet Set","2","7","163.51","2","7","163.51",324,324
"[SKU1204] [Hivewood]Manuka Honey UMF 5+ (500g)","2","14","961.02","2","14","961.02",325,325
"[SKU1273] [Southern Craft]Souvenir Keyring","2","12","458.11","2","12","458.11",326,326
"[SKU1048] [Vireo Labs]Lecithin 1200mg","2","12","606.16","2","12","606.16",327,327
"[SKU1337] [Cocoa Bay]Chocolate Gift Pouch (180g)","2","8","94.91","2","8","94.91",328,328
"[SKU1092] [Tasman Vitality]Magnesium Complex 60s","1","INVALID_VALUE","111.08","1","3","111.08",329,329
"[SKU1199] [Golden Vale]Manuka Honey UMF 10+ (250g)","1","3","254.1","1","3","254.1",330,330
"[SKU1001] [Solwave]Omega 3 Fish Oil 500mg","2","5","265.44","2","5","265.44",331,331
"[SKU1046] [Vireo Labs]Joint Care Glucosamine 180s","1","11","276.51","1","11","276.51",332,332
"[SKU1296] [KIWIANA CO]Plush Kiwi Toy (15cm)","1","6","50.67","1","6","50.67",333,333
"[SKU1112] [Riverstone Bio]Calcium + Vitamin D 120s","1","7","183.67","1","7","183.67",334,334
"[SKU1145] [Ambervale]Goat Milk Powder (450g)","1","3","122.96","1","3","122.96",335,335
"[SKU1171] [Highmoor]Digestion Support Milk Powder (800g){15-Day Express}","1","5","454.54","1","5","454.54",336,336
"[SKU1261] [Tui Botanicals]Hand Cream (50ml)","1","5","132.79","1","5","132.79",337,337
"[SKU1301] [Kiwiana Co]Wool Cushion Cover (45cm)","2","4","50.63","2","4","50.63",338,338
"[SKU1185] [Manuka Ridge]Manuka Honey UMF 10+ (500g)","2","2","91.75","2","2","91.75",339,339
"[SKU1215] [Beechline]Clover Honey (1000g)","2","11","609.48","2","11","609.48",340,340
"[SKU1323] [Piko Gifts]Souvenir Keyring","1","13","562.97","1","13","562.97",341,341
"[SKU1283] [Southern Craft]Wool Cushion Cover (45cm)","1","6","52.57","1","6","52.57",342,342
"[SKU1010] [Solwave]Propolis Extract 120s","1","2","85.94","1","2","85.94",343,343
"[SKU1125] [Clearfield]Immune Support Milk Powder (900g)","1","7","585.33","1","7","585.33",344,344
"[SKU1077] [Puriri Health]Lecithin 1500mg","1","4","92.01000000000001","1","4","92.01000000000001",345,345
"[SKU1278] [Southern Craft]Plush Kiwi Toy (25cm)","2","2","68.05","2","2","68.05",346,346
"[SKU1056] [Baycrest]Omega 3 Fish Oil 1000mg","2","8","219.76","2","8","219.76",347,347
"[SKU1224] [LANOLUX]Night Repair Serum (30ml)","1","6","110.74","1","6","110.74",348,348
"[SKU1176] [Westbrook]Immune Support Milk Powder (900g)","1","6","278.99","1","6","278.99",349,349
"[SKU1234] [Pounamu Skin]Propolis Toothpaste (100g)","2","15","372.03","2","15","372.03",350,350
"[SKU1256] [Cove & Clay]Lanolin Moisturising Cream (150ml)","1","2","50.74","1","2","50.74",351,351
"[SKU1064] [Baycrest]Eye Health Lutein 30s","1","3","136.45","1","3","136.45",352,352
"[SKU1082] [Tasman Vitality]Omega 3 Fish Oil 1500mg","2","6","235.46","2","6","235.46",353,353
"[SKU1009] [Solwave]Eye Health Lutein 60s","2","10","237.47","2","10","237.47",354,354
"[SKU1182] [Manuka Ridge]Clover Honey (500g)","1","7","507.55","1","7","507.55",355,355
"[SKU1252] [Cove & Clay]Facial Cleanser (150ml)","1","2","12.06","1","2","12.06",356,356
"[SKU1072] [Puriri Health]Calcium + Vitamin D 60s","1","3","78.97","1","3","78.97",357,357
"[SKU1111] [Riverstone Bio]CoQ10 200mg","2","5","185.93","2","5","185.93",358,358
"[SKU1231] [Pounamu Skin]Night Repair Serum (30ml)","2","4","29.84","2","4","29.84",359,359
"[SKU1311] [Harbour Wool]Sheepskin Slippers","1","9","343.05","1","9","343.05",360,360
"[SKU1190] [Manuka Ridge]Manuka Honey UMF 10+ (250g)","2","6","547.03","2","6","547.03",361,361
"[IFFSHIP01] [Freight]Free Shipping $0","1","2","0","1","2","0",362,362
"[SKU1232] [Pounamu Skin]Facial Cleanser (100ml)","1","13","131.68","1","13","131.68",363,363
"[SKU1033] [Northlight]Magnesium Complex 90s","2","10","470.17","2","10","470.17",364,364
"[SKU1338] [Cocoa Bay]Dark Chocolate Block 85% (180g)","2","16","192.5","2","16","192.5",365,365
"Total",,"2395","89312.44","542","2395","89312.44",366,366
"[SKU1009] [Solwave]Eye Health Lutein 60s","2","10","237.47","2","10","237.47",354,367
"[IFFSHIP02] [Freight]Extra Charge $1","2","6","28.74","2","6","28.74",285,368
"[SKU1294] [KIWIANA CO]Wool Throw Blanket","1","7","183.48","1","7","183.48",111,369
"[SKU1047] [Vireo Labs]Multivitamin Adult 120s","1","4","121.9","1","4","121.9",7,370
"[SKU1309] [Harbour Wool]Souvenir Keyring","1","4","29.11","1","4","29.11",214,371
"[IFFSHIP07] [Freight]Overseas $8","1","7","1534","1","7","1534",261,372
"[SKU1177] [Westbrook]Digestion Support Milk Powder (800g){15-Day Express}","1","1","102.04","1","1","102.04",316,373
